Title,Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,,,
Erwin Kneihsl,,Erwin Kneihsl,Galerie Guido W. Baudach,,http://www.guidowbaudach.com/,31/07/2021,04/09/2021,Kreuzberg, Pohlstrasse 67,10785,exhibition,,,,
Response to Transient and Steady State Flickering Stimuli,Response to Transient and Steady State Flickering Stimuli,Thomas Zipp,Galerie Guido W. Baudach,"Thomas Zipp's exhibition for Gallery Weekend 2021 is conceived as a space-specific overall experience that brings together works of different media such as painting, sculpture and performance in an installation in situ. Titled Response to Transient and Steady State Flickering Stimuli, Zipp once again addresses functions of the human perceptual apparatus in relation to mental processes, as well as scientific approaches to their exploration beyond the academic mainstream.

Zipp negotiates these often complex theoretical contexts by creating transformational images, objects, and situations that are as concise as they are multi-layered. On the one hand, they are based on a profound examination of the respective subject matter, and on the other hand, they are developed from a vocabulary that is all his own, rhizome-like, linking the most diverse aspects of art and cultural history with the subject matter, for which he is widely known as an artist.

A good insight into Zipp's work, which now spans more than two decades, is provided by the recently published overview A23, the public presentation of which will take place in the course of the exhibition.",http://www.guidowbaudach.com/,29/04/2021,26/06/2021,Kreuzberg, Pohlstrasse 67,10785,exhibition,,,,
Synergies – Stützmappe and Bonobos,Synergies – Stützmappe and Bonobos,,BORCH Gallery,,http://www.borcheditions.com/,13/08/2021,04/09/2021,Charlottenburg, Goethestr. 79,10623,exhibition,,,,
Slouching Towards Bethlehem,Slouching Towards Bethlehem,Julie  Mehretu,BORCH Gallery,"In the chromatic large-scale prints of Julie Mehretu’s 'Slouching Towards Bethlehem', the artist combines photogravure with classic intaglio printing techniques. The base layers are distorted news images from anti-immigration protests, blurred extensively to allow the subliminal forms, color, and light from the photos to merge with the complex compositions of agitated gestures and erasures which Mehretu executed in a variety of printing techniques.",http://www.borcheditions.com/,30/04/2021,24/07/2021,Charlottenburg, Goethestr. 79,10623,exhibition,,,,
"“Like the quietness of flowers…” (rituals, ephemeral monuments and brides)","“Like the quietness of flowers…” (rituals, ephemeral monuments and brides)",Giuseppe  Desiato,Galerie Isabella Bortolozzi,,http://www.bortolozzi.com/,28/04/2021,17/07/2021,Kreuzberg, Schöneberger Ufer 61,10785,exhibition,,,,
Rekommandeur,Rekommandeur,Mara  Wohnhaas,BQ,,http://www.bqberlin.de/,31/08/2021,30/10/2021,Mitte, Weydingerstr. 10,10178,exhibition,,,,
Le saint ennui,Le saint ennui,"Ethan  Assouline, 																		Guillaume  Dénervaud, 																		Garance  Früh, 																		Mona  Varichon",BQ,"Le saint ennui was inspired by the central character of Mr. Bougran’s retirement, a novel written in 1888 by the
multifaceted French novelist and art critic Joris-Karl Huysmans.

 


Resulting from an open dialogue between four artists whose practices address our normative modes of perception,
this exhibition brings together works offering a reflection on the mutability of reality, from a bodily to a societal
scale, from a sentimental to a political perspective.

 


In logic, the principle of non-contradiction states that a proposition and its opposite cannot coexist at the same time,
or on the same plane. In theory, reality cannot contradict itself. While this principle cannot be demonstrated, Mr.
Bougran seems fully determined to refute it.

 


Bougran is a middle-aged civil servant who is unfairly forced into early retirement by the administration he served
loyally for a number of years. His dismissal comes with the label “psychological infirmity undetectable by men of the
medical art”.",http://www.bqberlin.de/,08/06/2021,31/07/2021,Mitte, Weydingerstr. 10,10178,exhibition,,,,
Mies In Mind,Mies In Mind,,Galerie Buchholz,,http://www.galeriebuchholz.de/,20/08/2021,22/08/2021,Charlottenburg, Fasanenstr. 30,10719,exhibition,,,,
Singers of Ten Thousand Lines,Singers of Ten Thousand Lines,Michael Oppitz,Galerie Buchholz,,http://www.galeriebuchholz.de/,20/08/2021,04/09/2021,Charlottenburg, Fasanenstr. 30,10719,exhibition,,,,
Mies In Mind,Mies In Mind,,Buchmann Galerie,,http://www.buchmanngalerie.com/,20/08/2021,22/08/2021,Kreuzberg, Charlottenstr. 13 / Buchmann Box – Charlottenstr. 75,10969,exhibition,,,,
Sculptures,Sculptures,Tony Cragg,Buchmann Galerie,,http://www.buchmanngalerie.com/,20/03/2021,20/06/2021,Kreuzberg, Charlottenstr. 13 / Buchmann Box – Charlottenstr. 75,10969,exhibition,,,,
Reise ans Mittelmeer,Reise ans Mittelmeer,"Balthasar Burkhard, 																		Daniel Buren, 																		Jason Martin, 																		a.o.",Buchmann Galerie,,http://www.buchmanngalerie.com/,09/07/2021,14/09/2021,Kreuzberg, Charlottenstr. 13 / Buchmann Box – Charlottenstr. 75,10969,exhibition,,,,
