Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,Time_start,Time_end,,
OFFICIAL Erasmus & International Party,,Traffic Club,"The legendary Official Erasmus P.A.R.T.Y. on Saturday, April the 10th  ♥✰ Biggest International Meetup in Town ✰✰ Best Music All Over  About this Event          								          									                    	Let´s celebrate the beginning of a new season with the legendary Official Erasmus P.A.R.T.Y. on Saturday, April the 10th. Locals & Internationals, Students & Non-Students, Everybody is Welcome! ♥✰ Biggest International Meetup in Town ✰✰ Give-Aways for Free ✰✰ Best Music All Over (♫ Charts, R&B, House, Indie & Party Classics ♫) ✰✰ Huge Outdoor Area Over Alexanderplatz ✰✰ Feel-Good Atmosphere ✰|Admission|pre-sale: student ticket: 10 € regular ticket: 14 € - This is a limited offer, get yours now before they sell out!at the door: with student ID: 12 € regular ticket: 16 € do you want to save money? Then buy a pre-sale ticket!|Location|Alexanderstr. 7, (Alexanderplatz) (Entry on Otto-Braun-Straße)Get ready for the party of the year ♥",https://www.facebook.com/erasmus4berlin,10/04/2021,11/04/2021,Mitte,"Alexanderstr. 7, (Alexanderplatz) (Entry on Otto-Braun-Straße)",10178 ,party,,23:00,07:00,,
BiggestEventEverOnlyForYou(also cause you'll be only You/Me or not even),,,"Online party  Informazioni sull'evento          								          									                    	Berlin Online party for everyone, for one",,18/12/2020,29/01/2022,Other,,,party,,18:00,18:00,,
Ü20 Socialmatch - Dating-Event in Berlin,,Rückerstattungen bis zu 7 Tage vor dem Event,"1 Bar, 10 Teilnehmer, 1 Spiel. Die Alternative zu Speed-Dating, Single Party oder After Work Event in Berlin. Bei Socialmatch lernen sich bi  Zu diesem Event          								          									                    	1 Bar, 10 Teilnehmer, 1 Spiel. Die Alternative zu Speed-Dating, Single Party oder After Work Event in Berlin.          Bei Socialmatch lernen sich bis zu zehn Teilnehmer (Hälfte Männer und Hälfte Frauen) in einer Bar beim eigens dafür entwickelten Socialmatch-Spiel während des zweistündigen Events näher kennen. Die genauen Infos zur Location bekommen die Teilnehmer einen Tag vor dem Event per Email.          Das Spiel kombiniert eine gelungene Mischung aus Fragen, Aktionsaufgaben und lustiger Unterhaltung, die alleine oder als Team gemeistert werden. Durch verschiedene Aufgaben und Fragen kommen die Spieler in Interaktion miteinander und lernen sich im Spielverlauf besser kennen. Durch mehrere Sitzplatzwechsel hat man die Chance, mit allen Teilnehmern an einem Abend in Kontakt zu kommen.          Ein Moderator vor Ort informiert über den Ablauf und leitet durch das Event.          Mehr Infos unter www.socialmatch.de          Hinweis: Das Event ist für die Altersgruppe 30-45 Jahre. Für andere Altersgruppen, siehe weitere Termine.          P.s. Socialmatch erhielt bereits 2015 bereits den Single-Award für sein Konzept und ist bekannt aus zahlreichen Medien (u.a. ZDF, NEON, Focus, Die Welt, etc.). Teste es selbst, es lohnt sich!          Vorteile Socialmatch                    100% entspanntes und lockeres Kennenlernen          Triff bis zu 9 neue Leute an einem Abend          Verhältnis von Männer & Frauen ist ausgeglichen          Spielkonzept garantiert einen lustigen Abend          Anmeldung mit bis zu zwei Freunden                               FAQs          Wie kann ich den Veranstalter kontaktieren, wenn ich Fragen habe?          Bei Fragen wende dich gerne julie@socialmatch.de. Hier findest du auch bereits häufig gestellte Fragen und deren Antworten: https://socialmatch.de/faq          Muss ich mich am Einlass ausweisen und gibt es eine Altersbeschränkung für das Event?          Die Events sind in drei Altersgruppen eingeteilt:                    20-35 Jahre          30-45 Jahre           40-60 Jahre                    Je nach Altersgruppe variiert das Event-Datum, beachte die Angabe zur Altersgruppe im Beschreibungstext.          Sind Rückerstattungen möglich?          Die Teilnahme beim gebuchten Socialmatch-Event kann bis zu 5 Tage vor dem  Event storniert werden. Der Teilnehmer erhält entweder die bereits gezahlte Teilnahmegebühr zurück oder kann auf ein anderen Event-Datum kostenlos umgebucht werden. Schreibe hierfür eine Email an julie@socialmatch.de.          Muss ich das ausgedruckte Ticket mitbringen?          Nein. Der Moderator hat eine Liste mit allen Namen.",https://socialmatch.de/,04/11/2020,12/05/2021,Other,,,party,,20:00,22:00,,
Sacred Sister Circle - Online Gathering,,We will share a zoom link upfront via email,"Beautiful Shaktis,          This is an experience for women to rise in connection, support and celebration of one another.           Welcome home.  About this Event          								          									                    	Beautiful Sister,Are you also over this current separation disease. Do you crave being with your like-minded tribe, meet new inspiring soul sisters and simple thrive in authentic connection? Now more than ever. This is an experience for women to rise in connection, support and celebration of one another. This Sacred Sister Circle is a 2 hour gathering of women, (virtually) to engage in meaningful conversation about our hearts, lives, and vision for the planet. Experience a sacred safe space of women where the whole of you is welcomed, just as you are.This sacred sister circle will be a nurturing, accepting environment to share your unique truths and to allow yourself to be seen, heard and understood by women who get you. We value every woman's uniqueness. We understand it is not our job to fix anyone else, but instead celebrate and honour them and their unique journey. You will be led by Chi Lisa Schulz who brings this ceremonial gathering to her community as she has been living and experiencing it in her second home  Bali. Mama Bali is the embodiment of community and walking through life together. You can expect:- welcome & intentions- meditation- sharing circle- closing Thank you for helping us create more sisterhood in our world! Together we shall rise. When women come together in circles they come HOME.  I am looking forward to seeing you in the circle.Namaste, Sister.Chi",https://www.facebook.com/facebook.com/groups/469566723727210,10/04/2021,10/04/2021,Other,via zoom,Berliner Str.,party,,14:00,16:00,,
Ü40 Socialmatch - Dating-Event in Berlin,,Rückerstattungen bis zu 7 Tage vor dem Event,"1 Bar, 10 Teilnehmer, 1 Spiel. Die Alternative zu Speed Dating, Single Party oder After Work Event in Berlin.  Zu diesem Event          								          									                    	1 Bar, 10 Teilnehmer, 1 Spiel. Die Alternative zu Speed Dating, Single Party oder After Work Event in Berlin.          Bei Socialmatch lernen sich bis zu zehn Teilnehmer (Hälfte Männer und Hälfte Frauen) in einer Bar beim eigens dafür entwickelten Socialmatch-Spiel während des zweistündigen Events näher kennen. Die genauen Infos zur Location bekommen die Teilnehmer einen Tag vor dem Event per Email.          Das Spiel kombiniert eine gelungene Mischung aus Fragen, Aktionsaufgaben und lustiger Unterhaltung, die alleine oder als Team gemeistert werden. Durch verschiedene Aufgaben und Fragen kommen die Spieler in Interaktion miteinander und lernen sich im Spielverlauf besser kennen. Durch mehrere Sitzplatzwechsel hat man die Chance, mit allen Teilnehmern an einem Abend in Kontakt zu kommen.          Ein Moderator vor Ort informiert über den Ablauf und leitet durch das Event.          Mehr Infos unter www.socialmatch.de          Hinweis: Das Event ist für die Altersgruppe 40-60 Jahre. Für andere Altersgruppen, siehe weitere Termine.          P.s. Socialmatch erhielt bereits 2015 bereits den Single-Award für sein Konzept und ist bekannt aus zahlreichen Medien (u.a. ZDF, NEON, Focus, Die Welt, etc.). Teste es selbst, es lohnt sich!          Vorteile Socialmatch                    100% entspanntes und lockeres Kennenlernen          Triff bis zu 9 neue Leute an einem Abend          Verhältnis von Männer & Frauen ist ausgeglichen          Spielkonzept garantiert einen lustigen Abend          Anmeldung mit bis zu zwei Freunden                               FAQs          Wie kann ich den Veranstalter kontaktieren, wenn ich Fragen habe?          Bei Fragen wende dich gerne julie@socialmatch.de. Hier findest du auch bereits häufig gestellte Fragen und deren Antworten: https://socialmatch.de/faq          Muss ich mich am Einlass ausweisen und gibt es eine Altersbeschränkung für das Event?          Die Events sind in drei Altersgruppen eingeteilt:                    20-35 Jahre          30-45 Jahre           40-60 Jahre                    Je nach Altersgruppe variiert das Event-Datum, beachte die Angabe zur Altersgruppe im Beschreibungstext.          Sind Rückerstattungen möglich?          Die Teilnahme beim gebuchten Socialmatch-Event kann bis zu 5 Tage vor dem  Event storniert werden. Der Teilnehmer erhält entweder die bereits gezahlte Teilnahmegebühr zurück oder kann auf ein anderen Event-Datum kostenlos umgebucht werden. Schreibe hierfür eine Email an julie@socialmatch.de.          Muss ich das ausgedruckte Ticket mitbringen?          Nein. Der Moderator hat eine Liste mit allen Namen.",https://socialmatch.de/,09/11/2020,19/04/2021,Other,,,party,,20:00,22:00,,
PubCrawl Berlin Super-Premium Tour,,,"Ziehe mit unseren szenekundigen Guides in einer Nacht durch bis zu 5 Locations des pulsierenden Nachtlebens der Stadt.  Zu diesem Event          								          									                    	Startpunkt: frei vereinbar im Umkreis des Alexanderplatzes Du organisierst einen Junggesellenabschied oder eine private Tour in Berlin? Dann plant mit uns Eure individuelle Party-Tour! Mit unserem Team aus erfahrenen Berliner Guides sorgen wir dafür, dass Eure Tour unvergesslich wird. Spart Euch den Planungssaufwand und zieht mit Eurem privaten Guide durch die heißesten Läden Berlins! Und das ist inklusive:Eigener Guide für Eure Gruppe Individuelle Startzeit Individueller Abholort (Abholung Umgebung Haltestelle Simplonstr. (Berlin)) Tour durch 5 Locations Welcome-Shot am Treffpunkt 1 Shot in jeder Location Free Shots auf den Wegen von Lokation zu Lokation 1 PubCrawl Finisher-T-Shirt für die Braut / den Bräutigam für die Unterschriften aller FreundeMädels: 1 Magnum-Flasche Prosecco extra je 15 TeilnehmerJungs: 1 Flasche „Pirat“ von FICKEN extra je 12 Teilnehmer Mädels: 1 Diadem pro PersonJungs: 1 PubCrawl-Flaschenöffner pro Person Exklusive Stripshow (10 Minuten) in einer der teilnehmenden LocationsTouren sind auch an jedem anderen Wochentag möglich, bitte kontaktieren Sie uns dafür direkt. Vielen Dank.",,24/02/2017,31/12/2022,Other,,,party,,20:00,22:00,,
Kreuzberger Nächte sind lang – Zurück in die 80iger Teil II,,N.N.Rooms,"Wer erinnert sich nicht an die langen Nächte in „unseren“ 80iger Jahren in West-Berlin.  About this Event          								          									                    	Wer erinnert sich nicht an die langen Nächte in „unseren“ 80iger Jahren in West-Berlin. Als Hommage an diese geile Zeit findet der Teil II  unserer  Eventreihe „Kreuzberger Nächte sind lang“ am am 23 April 2021 statt.Erlebt den Charme einmaliger, denkmalgeschützter Räumlichkeiten nahe des Viktoriaparks im Herzen Kreuzbergs - der durch die Barprofis Unique Berlin Events exklusiv betriebene N.N.Rooms, wird für diesen Abend in einen 80-er Jahre Club verwandelt.DJ Soulspy wird Kreuzberg schon vor Mitternacht zum Beben bringen Limitiert auf 50-70 Plätze19.00 - 21.00 Uhr Happy  Hour auf Longdrinks 2 für 1Wir begrüßen Euch mit einem complimentary Welcome Drink ... Der „Raiderbeitrag“ beträgt 10€ zzgl. Gebühr!Die Veranstaltung findet statt unter Berücksichtigung geltender Abstands- und Hygienemaßnahmen/ Planung u. Umsetzung der Veranstaltung gilt es die aktuellen Entwicklungen u. Erfordernissen anzupassen",,23/04/2021,24/04/2021,Kreuzberg,Möckernstraße 68,10965 ,party,,19:00,01:00,,
Devil Dance Festival & Artchi´s B-Day,,Void Club & Kulturhaus Kili Berlin,"Devil Dance Festival & Artchi´s B-´Day  ♦ 6 Floors ♦ 50 Dj´s ♦ 2 Clubs  Zu diesem Event                    Wir wollen mit euch Artchi´s Geburtstag zelebrieren und das mit ordentlich Bass auf 6 Floors. Es gibt viele Gründe zum Party machen, doch dieser ist ein ganz besonderer, unser lieber Artchi wird 50 und das werden wir ausgelassen feiern.                    ▁ ▁ ▁ ▂ ▂ ▂ ▃ ▃ ▃ 50 Jahre, 50 DJs! ▃ ▃ ▃ ▂ ▂ ▂ ▁ ▁ ▁                    In so vielen Jahren gibt es viele Genres die einem über den Weg laufen, für die Party hat er seine liebsten raus gepickt: Techno, Hard Techno, Hardcore, House / Electro, Dark Psy, Forest, Psytrance, Psychedelic, Drum n Bass, Chillout, Ambient/ Downtempo.                    Alle weiteren Informationen folgen in kürze, also seid gespannt. <3                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    ⚡ Quantize of Sense - Floor ☠️                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    ♦ Darkpsy | Hi-Tech | Forest | Psychedelic ♦                    🚩 Mind Oscillation - Banyan Records – GRE -                    ❥ https://soundcloud.com/mind-oscillation                    ❥ https://www.facebook.com/MindOsc/                    🚩 Telepathic Creatures - Banyan Records – GRE                    ❥ https://soundcloud.com/telepathic-creatures                    ❥ https://www.facebook.com/TelepathiCreatures/                    🚩 Opus Summum – Live - (Kasatka & Calyptratus) - Germany                    ❥ https://soundcloud.com/opus-summum                    ❥ https://www.facebook.com/OpusSummum/                    🚩 -Z- (alpha & antagon) – Live - Black Out Records - Germany                    ❥ https://soundcloud.com/z-alpha-antagon                    ❥ https://www.facebook.com/Z.alpha.antagon/                    🚩 Abralabim - Fractal Nebula Records - Germany                    ❥ https://soundcloud.com/abralabim-fractal-nebula-discovalley                    ❥ https://www.facebook.com/Abralabim/                    🚩 Jairam - Fractal Nebula Records - Germany                    ❥ https://soundcloud.com/jairam-1                    ❥ https://www.facebook.com/Dj-Jairam-358199774792510/                    🚩 Malum – Shamanism Records - Germany                    ❥ https://soundcloud.com/malum420                    ❥ https://www.facebook.com/Malum420/                    🚩 Synthezia - Atra Scientia Berlin - Germany                    ❥ https://soundcloud.com/syntheziadj                    ❥ https://www.facebook.com/synthezia/                    🚩 Elektroengel – Soundviecher Berlin - Germany                    ❥ http://soundcloud.com/soundviecher                    ❥ https://www.facebook.com/viechedelic/                    🚩 Diavolo – Soundviecher Berlin - Germany                    ❥ https://soundcloud.com/diavolosoundviech                    ❥ https://www.facebook.com/Soundviecher/                    🚩 ANT - Mind Expansion Music - Germany                    ❥ https://soundcloud.com/mindexpansionspace                    ❥ https://www.facebook.com/ant.memusic                    🚩 Halunke - Mind Expansion Music - Germany                    ❥ https://soundcloud.com/mindexpansionspace                    ❥ https://www.facebook.com/MindExpansionMusic?fref=ts                    🚀 Mad Monday - Floor 🎉                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    ♦ Techno | Electro | House ♦                    🚩 Aquarius Heaven -Live- (Wolf + Lamb | Circus Company ) - FRA                    ❥ https://soundcloud.com/aquarius-heaven                    ❥ https://www.facebook.com/aquarius.heaven/                    🚩 Anri - [YO͞ONƏˌSEKS] - JP                    ❥ https://soundcloud.com/anrythm                    ❥ https://www.facebook.com/djanriofficial/                    🚩 Lee Jokes -Live- - Organic Live Art Records - Germany                    ❥ https://soundcloud.com/lee-jokes                    ❥ https://www.facebook.com/DjLeeJokes/                    🚩 Waynette - Supply Records - Germany                    ❥ https://soundcloud.com/waynettewaynette                    ❥ https://www.facebook.com/waynettewaynette/                    🚩 Anna Mea – Mad Monday Berlin - Germany                    ❥ https://soundcloud.com/annamea                    ❥ https://www.facebook.com/annameaoc/                    🚩 Debora Java - Organic Live Art Records - Germany                    ❥ https://soundcloud.com/debora-java                    ❥ https://www.facebook.com/deborajava/                    🚩 Oszillo- Organic Live Art Records - Germany                    ❥ https://soundcloud.com/oszillo                    ❥ https://www.facebook.com/F.Oszillo/                    🚩 Dub-Line – Mad Monday - Germany                    ❥ https://soundcloud.com/user-926435069                    ❥ https://www.facebook.com/Dub-Line-724359750989021/                    🚩 Mathias Birnbaum – Magnetic Field Berlin - Germany                    ❥ https://soundcloud.com/mathiasbirnbaum                    ❥ https://www.residentadvisor.net/profile/mathiasbirnbaum                    🚩 Honschu Lee - Magnetic Field Berlin - Germany                    ❥ https://soundcloud.com/honschulee                    ❥ https://www.facebook.com/HonschuLee/                    🚩 Der Eggert – Magnetic Field Berlin - Germany                    ❥ https://soundcloud.com/dereggert                    ❥ https://www.facebook.com/der.eggert/                    🌈 Magic Atmosphere - Floor 🍄                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    ♦ Psy-Trance | Progressive ♦                    🚩 Enantion - Psychedelic Theatre Berlin - Germany                    ❥ https://soundcloud.com/enantion                    ❥ https://www.facebook.com/enantion/                    🚩 Perkins - PHI Records Berlin - Germany                    ❥ https://soundcloud.com/perkins-berlin                    ❥ https://www.facebook.com/Perkins.Berlin/                    🚩 Possebility – Sun Departement Rec. - Germany                    ❥ https://soundcloud.com/possebility                    ❥ https://www.facebook.com/Possebility.Berlin/                    🚩 Goa Camino – Mad Monday | Melodic Psyprog Music - Germany                    ❥ https://soundcloud.com/goacamino                    ❥ https://www.facebook.com/GoaCamino/                    🚩 Shleyer – Velvet Monkey - Germany                    ❥ https://soundcloud.com/shleyer                    ❥ https://www.facebook.com/B.Shleyer/                    🚩 Monervo- An der frischen Luft - Germany                    ❥ https://soundcloud.com/monervo                    ❥ https://www.facebook.com/Monervo/                    🚩 Onkel Tom - Just Bang / Nachspiel / NachtiGeil - Germany                    ❥ https://soundcloud.com/onkel-tom-berlin                    ❥ https://www.facebook.com/DJ.Onkel.Tom/                    🚩 Labrysinthe - Sun Department Records - Germany                    ❥ https://soundcloud.com/labrysinthe                    ❥ https://www.facebook.com/labrysinthe/                    🚩 John Kotti – 7 SD Records - Germany                    ❥ https://soundcloud.com/johnkotti                    ❥ https://www.facebook.com/JohnKottiOfficial/                    🧟 Creatures of the Night - Floor 🌑                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •♦ Dark Techno | Hard Techno | Frenchcore | Hardcore ♦                    🚩 Reanna Peris - OSC RECORDS BERLIN - Germany                    ❥ https://soundcloud.com/reannaperis                    ❥ https://www.facebook.com/reannaperis/                    🚩 SHVLFCE - Gabber Noir / USA                    ❥ https://soundcloud.com/shvlfce                    ❥ https://www.facebook.com/SHVLFCE001/                    🚩 Zak McCoy – Raw Nuts / Throyl - Germany                    ❥ https://soundcloud.com/zakmccoy                    ❥ https://www.facebook.com/ZakMcCoyFans/                    🚩 Curt Cocain – Freak Soundz / Void Berlin - Germany                    ❥ https://soundcloud.com/curt-cocain                    ❥ https://www.facebook.com/Curt-Cocain-312499893410/                    🚩 Sonair (No Way Merchandise, Subland, N1ghtshift)                    ❥ https://www.mixcloud.com/sonairmusic/                    ❥ https://www.facebook.com/sonairDNBmusic/                    🔊Galaxy - Floor 🥁                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    ♦ Drum´n´Bass | Jungle ♦                    🚩 Upzet – Out of Mind Berlin / Void Berlin - Germany                    ❥ https://soundcloud.com/djupzet                    ❥ https://www.facebook.com/djupzet/                    🚩 Tommy Lexxus - Bassism | Forecast | Higher Ground | Planet Reese | Sub.FM | VOID Berlin - USA                    ❥ https://soundcloud.com/bassismrecords                    ❥ https://www.facebook.com/t0mmyl3xxus/                    ❥ https://www.mixcloud.com/tommylexxus/stream/                    🚩 Mr. Lafont – Void Berlin - Germany                    ❥ https://soundcloud.com/mrlafont                    ❥ https://www.facebook.com/mrlafontdnb/                    🚩 RiseAb – Void Berlin - Germany                    ❥ https://soundcloud.com/riseabdnb                    ❥ https://www.facebook.com/RiseAbDNB/                    🚩 Weaponized – Void Berlin - Germany                    ❥ https://soundcloud.com/dj-weaponized                    ❥ https://www.facebook.com/djweaponized/                    🕉 Healing Space - Floor 💫                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    ♦ Ambient | Chillout | Downbeat ♦                    🚩 Pandu – Digedax - Germany                    ❥ https://soundcloud.com/pandu-1                    ❥ https://soundcloud.com/digedax                    ❥ https://www.facebook.com/Digedax%20/                    🚩 Orava – Mad Monday Berlin - Germany                    ❥ https://soundcloud.com/oravadj                    ❥ https://www.facebook.com/OravaDJ/                    🚩 Tom Waldgeist – Waldrausch Berlin - Germany                    ❥ http://www.facebook.com/xxwaldrauschxx                    🚩 Kenny Kuschel – Magnetic Field Berlin | Mad Monday - Germany                    ❥ https://soundcloud.com/kenny-kuschel                    ❥ https://www.facebook.com/KennyKuschelofficial/                    🚩 Abbadon – Mad Monday Berlin - Germany                    ❥ https://m.mixcloud.com/derzerstoerer/                    ❥ https://www.facebook.com/abbadonpsy/                    🚩 Line Up complete - no request please!                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    🎇 Decoration & Shows 🎆                    🚩 Visuals presented by Illuminated Art                    ❥ • https://www.facebook.com/illuminated.art/                    🚩 🚀 UAN VISUVISION • Italy / Germany                    ❥ http://www.wix.com/uanito/art-work-uan                    🚩 🚀 OPINIONS.BERLIN • Germany                    ❥ https://www.facebook.com/OpinionsBerlin-163807597617014/                    🚩 🚀 Stringart by Magnetic Field Berlin Crew • Germany                    🚩 🚀Feuershow by Phönix-girlz                    ❥ https://www.facebook.com/FeuerMelli/                    ▁ ▁ ▁ ▂ ▂ ▂ ▃ ▃ ▃ Specials & More: ▃ ▃ ▃ ▂ ▂ ▂ ▁ ▁ ▁                    ✮ Special für die ersten 100 Gäste ✮                    ॐ Chai & Snacks ॐ                    ✘ Chillout Area & Outdoor Space ✘                    ❥ Shops (Accessoires & Clothings) ❥                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    🎯 Location 🎯                    ✮ VOID CLUB & KULTURHAUS KILI BERLIN ✮                    ✮ Wiesenweg 5-9 | 10365 Berlin ✮                    ✮ S-Ostkreuz | S+U Frankfurter Allee | S-Nöldner Platz ✮                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    ❥ Goabase: www.goabase.net/party/quantize-of-sense-presents-devil-dance-festival/105437                    ❥ Resident Advisor: www.residentadvisor.net/events/1348407                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    Quantize of Sense Crew Berlin                    ✘ www.facebook.com/quantizecreatures/                    ✘ www.quantizeofsense.com                    Mad Monday Crew Berlin                    ✘ www.facebook.com/MadMondayBerlin/✘ www.madmonday.org/                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    ⚠ NO FASCISM! ⚠                    ⚠ NO SEXISM! ⚠                    ⚠ NO VIOLENCE! ⚠                    • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • • •                    🔥 Please share and invite your friends to this event - thx 🔥                    Wir freuen uns auf euch <3                    Euer,                    Artchi Berlin & Quantize of Sense / Mad Monday Crew - Berlin",,30/04/2021,01/05/2021,Lichtenberg,Wiesenweg 5 - 9,10365 ,party,,22:00,12:00,,
Berlins größtes Speed Dating Event (25-39 Jahre),,Berlin,"Lerne beim größtem Speed Dating Event in deiner Stadt bis zu 15 Personen bei einzigartigen Dates kennen!  Zu diesem Event          								          									                    	Berlins größtes Speed Dating EventHast du Lust Singles in deinem Alter direkt persönlich kennen zu lernen?           Wie wäre es, wenn es ein Event gäbe, wo sich möglichst viele tolle           Singles an einem Abend träfen?          Beim größtem Speed Dating Event in deiner Stadt hast du die Chance auf bis zu 15 einzigartige Dates an einem Abend.          Ein Moderator führt durch den Abend und jede Runde wird dir eine interessante Frage vorgegeben, die du für den Gesprächseinstieg verwenden kannst. So kommst du locker und schnell ins Gespräch!          Während des Events kannst du dank dem Teilnehmerbogen markieren, wen du gerne wiedersehen willst. Bei Übereinstimmung werden die Kontaktdaten ausgetauscht.          Anmeldung und weitere Termine unter: www.speeddating-xxl.de          FAQsWo findet das Event statt?Die genauen Infos zur Location werden 2 Tage vor dem Event versendet.Sind Rückerstattungen möglich?Die Teilnahme beim gebuchten Event kann bis zu 7 Tage vor dem Event storniert werden. Der Teilnehmer erhält entweder die bereits gezahlte Teilnahmegebühr zurück oder bekommt ein Gutschein für ein zukünftiges Event. Schreibe hierfür eine Email an team[at]speeddating-xxl.deMuss ich das ausgedruckte Ticket mitbringen?Zur Sicherheit am besten das Ticket ausgedruckt oder auf Handy vorzeigbar mitbringen.Wie kann ich den Veranstalter kontaktieren, wenn ich Fragen habe?Bei Fragen wende dich gerne an team[at]speeddating-xxl.de.Bildquelle: Syda Productions/Shutterstock.com",,14/05/2021,14/05/2021,Other,-,Berlin,party,,19:30,21:30,,
Berlins größtes Speed Dating Event (25-39 Jahre)(2,,Berlin,"Lerne beim größtem Speed Dating Event in deiner Stadt bis zu 15 Personen bei einzigartigen Dates kennen!  Zu diesem Event          								          									                    	Berlins größtes Speed Dating EventHast du Lust Singles in deinem Alter direkt persönlich kennen zu lernen?           Wie wäre es, wenn es ein Event gäbe, wo sich möglichst viele tolle           Singles an einem Abend träfen?          Beim größtem Speed Dating Event in deiner Stadt hast du die Chance auf bis zu 15 einzigartige Dates an einem Abend.          Ein Moderator führt durch den Abend und jede Runde wird dir eine interessante Frage vorgegeben, die du für den Gesprächseinstieg verwenden kannst. So kommst du locker und schnell ins Gespräch!          Während des Events kannst du dank dem Teilnehmerbogen markieren, wen du gerne wiedersehen willst. Bei Übereinstimmung werden die Kontaktdaten ausgetauscht.          Anmeldung und weitere Termine unter: www.speeddating-xxl.de          FAQsWo findet das Event statt?Die genauen Infos zur Location werden 2 Tage vor dem Event versendet.Sind Rückerstattungen möglich?Die Teilnahme beim gebuchten Event kann bis zu 7 Tage vor dem Event storniert werden. Der Teilnehmer erhält entweder die bereits gezahlte Teilnahmegebühr zurück oder bekommt ein Gutschein für ein zukünftiges Event. Schreibe hierfür eine Email an team[at]speeddating-xxl.deMuss ich das ausgedruckte Ticket mitbringen?Zur Sicherheit am besten das Ticket ausgedruckt oder auf Handy vorzeigbar mitbringen.Wie kann ich den Veranstalter kontaktieren, wenn ich Fragen habe?Bei Fragen wende dich gerne an team[at]speeddating-xxl.de.Bildquelle: Syda Productions/Shutterstock.com",http://speeddating-xxl.de/,14/05/2021,14/05/2021,Other,-,Berlin,party,,19:30,21:30,,
