Event,Artist,Event__location,Description,URL,Event__start,Event__end,District,Address,PLZ,Category,Tag,
Seniorita Latifa Sharifah,Jasmin Werner,Galerie Guido W. Baudach,"Jasmin Werner in her practice investigates historical analysis, ideologies and individual desire by creating her own system of reference and combiningdifferent cultures and epochs non-hierachically. Her sculptures explore a perception of economical, social and spiritual development poled on constantgrowth. By this, Werner questions the modern concept of productivity with an emphasis on its gender-specificities.",http://www.guidowbaudach.com/,1/23/2021,3/6/2021,kreuzberg,"Galerie Guido W. Baudach,Pohlstrasse 67, ",10785,gallery,,0_Seniorita Latifa Sharifah
Die Zukunft der Heiligen,Thomas Helbig,Galerie Guido W. Baudach,"Galerie Guido W. Baudach is pleased to present an exhibition of new paintings by Thomas Helbig under the title ie Zukunft der Heiligen(The Future of the Saints). It is the eighth solo exhibition of the Berlin-based painter and sculptor with the gallery since 2001.In his painterly practice over the last twenty years, Thomas Helbig has repeatedly explored the boundaries of the genre. He has worked with a wide variety of materials, using the most diverse painting grounds and media. With the paintings for the exhibition ie Zukunft der Heiligen e is now returning to the technique he originally used. The works are all executed in oil on canvas. Helbig also draws on formative elements from his own early work in terms of pictorial language. What emerges, however, is something completely new. Helbig combines symbolic references to the classical avant-garde with abstract motifs that evoke associations with cosmic phenomena and at the same time recall the moonlit night skies of Romanticism - albeit in close-up. Seen purely from a painterly point of view, here multi-coloured underlaid areas of sulphurous pastel yellow enter into a relationship with softly layered brown tones and form a contrasting space of light and shadow that is both shimmering and interwoven with delicate sfumato.",http://www.guidowbaudach.com/,11/7/2020,1/16/2021,kreuzberg,"Galerie Guido W. Baudach,Pohlstrasse 67, ",10785,gallery,,0_Die Zukunft der Heiligen
Adidas Boy and : tingsted,Tal R,BORCH Gallery,"BORCH Gallery & Editions are delighted o present Tal R’s most recent print rojects didas Boy(2020) and: tingsted(2019) in erlin.The magery for Tal R’s didas Boy,  suite of 24 woodcuts, is ased on a group of bronze sculptures created for a solo exhibition at Ny arlsberg Glyptotek in 2020. n the six prints of the: ingsted eries, n the other hand, the viewer encounters people and bjects from Tal R’ immediate surrounding a male figure, flee market finds like asks and toy nimals or a flower vase. In neither of the two series, is the beholder provided with any nformation on what intrigued him about the objects or people; instead, he translates is fascination for them into a eries of prints exuding the calm and tranquil tmosphere of the space they inhabit.",http://www.borcheditions.com/,1/30/2021,4/10/2021,charlottenburg,"BORCH Gallery,Goethestr. 79, ",10623,gallery,,0_Adidas Boy and : tingsted
Monoprints,Per  Kirkeby,BORCH Gallery,"BORCH Gallery is elighted to present a series of monoprints by the late anish artist Per Kirkeby (1938 2018). Though irkeby announced the end of his career as a painter in 2015, his collaboration ith BORCH Editions, dating ack as far as 1979, continued nevertheless. In2017, he created a series of multi-coloured monoprints in collaboration with aster printer Mette Ulstrup that will be on view for the first time in Berlin.",http://www.borcheditions.com/,11/7/2020,1/23/2021,charlottenburg,"BORCH Gallery,Goethestr. 79, ",10623,gallery,,0_Monoprints
Morag Keil,Morag Keil,Galerie Isabella Bortolozzi,,http://www.bortolozzi.com/,2/27/2021,4/3/2021,kreuzberg,"Galerie Isabella Bortolozzi,Sch_neberger Ufer 61, ",10785,gallery,,0_Morag Keil
Public Affairs,"Hannah  Quinlan, 														Rosie  Hastings",Galerie Isabella Bortolozzi,,http://www.bortolozzi.com/,10/31/2020,1/30/2021,kreuzberg,"Galerie Isabella Bortolozzi,Sch_neberger Ufer 61, ",10785,gallery,,0_Public Affairs
Cathy Wilkes,Cathy Wilkes,BQ,,http://www.bqberlin.de/,2/2/2021,4/10/2021,mitte,"BQ,Weydingerstr. 10, ",10178,gallery,,0_Cathy Wilkes
Wolfgang Tillmans,Wolfgang Tillmans,Galerie Buchholz,,http://www.galeriebuchholz.de/,11/27/2020,2/13/2021,charlottenburg,"Galerie Buchholz,Fasanenstr. 30, ",10719,gallery,,0_Wolfgang Tillmans
Polychrome Futures,Jason Martin,Buchmann Galerie,"Since February 2020, Jason Martin has dedicated himself to working on the preparation and evelopment of this new series of paintings. This group of works marks an important shift in he artist’s practice: He returns to the paintbrush, but for the first time uses a versatile colour alette in different hues and tones to create paintings of immense depth and space.Looking at the polychrome paintings one journeys into something that begins on the surface, ut which then pulls you in deeper and deeper, opening into an unfathomable space beyond. ne reaches a surprising, almost figurative reality inside the painting, much like looking into a lazing fire, swirling water or ice. The lateral movement of the brushwork supports the multi-layered play of colours in the more translucent paintings, while others retain an opaqueness.",http://www.buchmanngalerie.com/,11/20/2020,1/30/2021,kreuzberg,"Buchmann Galerie,Charlottenstr. 13 / Buchmann Box _ Charlottenstr. 75, ",10969,gallery,,0_Polychrome Futures
Tony Cragg,Tony Cragg,Buchmann Galerie,,http://www.buchmanngalerie.com/,2/13/2021,3/13/2021,kreuzberg,"Buchmann Galerie,Charlottenstr. 13 / Buchmann Box _ Charlottenstr. 75, ",10969,gallery,,0_Tony Cragg
